City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Cabo San Lucas,MX,70.52,broken clouds,22.8909,-109.9124,Comfort Rooms
6,Port Elizabeth,ZA,69.1,scattered clouds,-33.918,25.5701,Waterford Hotel
8,Monrovia,LR,75.79,light rain,6.3005,-10.7969,Bella Casa Hotel
9,Makakilo City,US,75.52,overcast clouds,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
14,Cape Town,ZA,69.12,clear sky,-33.9258,18.4232,Townhouse Hotel
19,Rikitea,PF,77.74,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
22,Palpa,PE,70.93,overcast clouds,-14.5336,-75.1856,Alubias
27,Presidencia Roque Saenz Pena,AR,68.45,clear sky,-26.7852,-60.4388,Hotel Presidente
29,Mount Gambier,AU,69.44,scattered clouds,-37.8333,140.7667,The Old Mount Gambier Gaol
36,Peniche,PT,62.29,overcast clouds,39.3558,-9.3811,Residencial Maciel
39,Kitgum,UG,79.21,scattered clouds,3.2783,32.8867,Cactus Hillside Hotel
41,Jinotega,NI,60.8,scattered clouds,13.0917,-86.0018,Hotel Central
43,New Norfolk,AU,67.5,scattered clouds,-42.7826,147.0587,Woodbridge on the Derwent
44,Hobart,AU,67.86,broken clouds,-42.8794,147.3294,Vibe Hotel Hobart
50,Oistins,BB,76.35,light rain,13.0667,-59.5333,The Abidah By Accra
51,Victoria,HK,67.24,clear sky,22.2855,114.1577,四季酒店 Four Seasons Hotel
58,Vaini,TO,75.36,moderate rain,-21.2,-175.2,Keleti International Resort
61,Itacare,BR,73.99,broken clouds,-14.2775,-38.9967,Pousada Raisis
63,Kapaa,US,73.38,overcast clouds,22.0752,-159.319,Pono Kai Resort
68,Moyo,UG,76.62,light rain,3.6609,31.7247,Universal Lodge Moyo
69,Atuona,PF,77.95,light rain,-9.8,-139.0333,Pearl Resort
72,Montevideo,UY,63.52,clear sky,-34.8335,-56.1674,Hotel Escuela
73,Hilo,US,71.33,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
74,Sur,OM,74.17,clear sky,22.5667,59.5289,Sur Hotel
75,Catamarca,AR,75.78,clear sky,-28.4696,-65.7852,Hotel de Turismo
79,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
81,Barahona,DO,72.99,clear sky,18.2085,-71.1008,Hotel Baramar
82,Dori,BF,62.78,few clouds,14.0354,-0.0345,Kuin Deni Dori
86,Marsa Matruh,EG,61.12,clear sky,31.3525,27.2453,صقور
91,Kahului,US,76.84,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
104,Bredasdorp,ZA,64.24,overcast clouds,-34.5322,20.0403,Victoria Hotel
107,Ambilobe,MG,78.4,broken clouds,-13.2,49.05,Hôtel National
113,Cockburn Town,TC,78.55,clear sky,21.4612,-71.1419,The Salt Raker Inn
114,Cidreira,BR,65.86,clear sky,-30.1811,-50.2056,Hotel Castelo
119,Tierralta,CO,73.71,few clouds,8.1736,-76.0592,Hotel La Marqueza
131,Lichtenburg,ZA,74.39,overcast clouds,-26.151999999999997,26.1597,Scott's Manor
135,Port Lincoln,AU,66.25,clear sky,-34.7333,135.8667,Boston Hotel
137,Puerto Ayora,EC,71.55,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
141,Hermanus,ZA,66.79,broken clouds,-34.4187,19.2345,Aloe guest house
145,Muisne,EC,74.52,overcast clouds,0.6,-80.0333,Hostal Té de Menta
146,Piacabucu,BR,75.83,scattered clouds,-10.4056,-36.4344,O Leão
149,Antofagasta,CL,65.48,scattered clouds,-23.65,-70.4,Hotel Colón
151,Muros,ES,61.09,overcast clouds,42.7762,-9.0603,Pensión Ría de Muros
154,Saldanha,ZA,66.25,clear sky,-33.0117,17.9442,Hoedjesbaai
162,Ponta Do Sol,PT,67.12,scattered clouds,32.6667,-17.1,Estalagem Ponta do Sol
169,Coquimbo,CL,60.53,overcast clouds,-29.9533,-71.3436,Hotel Iberia
171,Diamantino,BR,72.01,overcast clouds,-14.4086,-56.4461,Hotel kayaby
184,Tabou,CI,76.23,overcast clouds,4.423,-7.3528,hôtel le rochet
185,Doha,QA,64.71,overcast clouds,25.2867,51.5333,Al MIrqab
191,Qeshm,IR,69.67,broken clouds,26.9581,56.2719,هتل آپادانا
192,Rangpur,BD,74.12,clear sky,25.75,89.25,Tilottoma Hotel
195,Nouadhibou,MR,67.98,scattered clouds,20.930999999999997,-17.0347,Hotel valencia
