City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,81.16,76,78,12.77,broken clouds
1,Gigmoto,PH,13.7796,124.39,82.71,79,92,3.09,overcast clouds
2,Aklavik,CA,68.2191,-135.0107,-15.88,97,92,5.41,overcast clouds
3,Busselton,AU,-33.65,115.3333,85.75,36,0,13.04,clear sky
4,Cabo San Lucas,MX,22.8909,-109.9124,70.52,70,60,5.01,broken clouds
5,Prince Rupert,CA,54.3161,-130.3201,44.29,77,100,20.71,overcast clouds
6,Port Elizabeth,ZA,-33.918,25.5701,69.1,67,40,5.75,scattered clouds
7,Hithadhoo,MV,-0.6,73.0833,80.1,74,42,4.18,scattered clouds
8,Monrovia,LR,6.3005,-10.7969,75.79,88,48,4.27,light rain
9,Makakilo City,US,21.3469,-158.0858,75.52,71,100,3.44,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,44.26,76,75,19.57,broken clouds
11,Mahebourg,MU,-20.4081,57.7,82.69,61,20,5.75,few clouds
12,Ukiah,US,39.1502,-123.2078,52.16,96,100,4.61,moderate rain
13,Provideniya,RU,64.3833,-173.3,-7.01,81,84,11.32,broken clouds
14,Cape Town,ZA,-33.9258,18.4232,69.12,56,0,11.01,clear sky
15,Moses Lake,US,47.1301,-119.2781,34.48,86,100,5.75,overcast clouds
16,Lavrentiya,RU,65.5833,-171.0,-8.55,87,74,9.44,broken clouds
17,Yulara,AU,-25.2406,130.9889,90.19,33,72,17.43,broken clouds
18,Noyabrsk,RU,63.1994,75.4507,-22.05,98,78,8.05,broken clouds
19,Rikitea,PF,-23.1203,-134.9692,77.74,72,99,4.83,overcast clouds
20,Ribeira Grande,PT,38.5167,-28.7,60.78,91,100,11.99,light rain
21,Sioux Lookout,CA,50.1001,-91.917,24.87,93,100,4.61,mist
22,Palpa,PE,-14.5336,-75.1856,70.93,80,100,2.98,overcast clouds
23,Punta Arenas,CL,-53.15,-70.9167,46.51,71,75,17.27,broken clouds
24,Yellowknife,CA,62.456,-114.3525,7.32,85,100,10.36,light snow
25,Kysyl-Syr,RU,63.8986,122.7617,-33.54,98,85,5.68,overcast clouds
26,Denpasar,ID,-8.65,115.2167,87.46,70,40,4.61,moderate rain
27,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,68.45,46,1,1.68,clear sky
28,Bilma,NE,18.6853,12.9164,54.99,35,0,7.4,clear sky
29,Mount Gambier,AU,-37.8333,140.7667,69.44,60,28,9.4,scattered clouds
30,Pittsburg,US,38.028,-121.8847,55.76,95,100,5.99,mist
31,Port Alfred,ZA,-33.5906,26.891,68.18,71,46,1.01,scattered clouds
32,Tura,IN,25.5198,90.2201,70.59,34,1,3.18,clear sky
33,Berdigestyakh,RU,62.0989,126.6992,-22.14,98,97,4.47,overcast clouds
34,Khatanga,RU,71.9667,102.5,-11.67,94,100,15.21,overcast clouds
35,Mookane,BW,-23.688,26.6595,75.09,62,75,9.89,broken clouds
36,Peniche,PT,39.3558,-9.3811,62.29,92,100,21.56,overcast clouds
37,Karlskoga,SE,59.3267,14.5239,40.39,86,100,12.59,overcast clouds
38,Asau,RO,46.4333,26.4,27.52,84,36,6.78,scattered clouds
39,Kitgum,UG,3.2783,32.8867,79.21,38,29,9.69,scattered clouds
40,Lago Da Pedra,BR,-4.3333,-45.1667,71.53,99,38,3.2,scattered clouds
41,Jinotega,NI,13.0917,-86.0018,60.8,98,29,4.65,scattered clouds
42,Evensk,RU,61.95,159.2333,-9.71,76,88,10.71,overcast clouds
43,New Norfolk,AU,-42.7826,147.0587,67.5,47,30,7.96,scattered clouds
44,Hobart,AU,-42.8794,147.3294,67.86,65,75,17.27,broken clouds
45,Hofn,IS,64.2539,-15.2082,16.77,70,12,17.87,few clouds
46,Mataura,NZ,-46.1927,168.8643,62.6,43,25,6.46,scattered clouds
47,Mount Isa,AU,-20.7333,139.5,92.97,40,100,12.66,overcast clouds
48,Baiyin,CN,36.5583,104.2081,30.69,23,0,6.08,clear sky
49,Baykit,RU,61.67,96.37,-20.97,97,44,1.86,scattered clouds
50,Oistins,BB,13.0667,-59.5333,76.35,82,15,18.03,light rain
51,Victoria,HK,22.2855,114.1577,67.24,63,6,17.0,clear sky
52,Norman Wells,CA,65.282,-126.8329,-20.16,69,20,0.0,few clouds
53,Tuatapere,NZ,-46.1333,167.6833,59.04,55,42,5.84,scattered clouds
54,Parry Sound,CA,45.3501,-80.033,44.65,93,100,9.55,overcast clouds
55,Isangel,VU,-19.55,169.2667,86.11,79,100,11.5,overcast clouds
56,Ambovombe,MG,-25.1667,46.0833,84.96,56,0,4.07,clear sky
57,Jamestown,US,42.097,-79.2353,53.19,76,100,10.36,overcast clouds
58,Vaini,TO,-21.2,-175.2,75.36,94,100,10.36,moderate rain
59,Poretskoye,RU,55.1974,46.3291,24.67,91,100,5.48,overcast clouds
60,Vitim,RU,59.4511,112.5578,-15.54,95,100,2.39,overcast clouds
61,Itacare,BR,-14.2775,-38.9967,73.99,84,52,2.24,broken clouds
62,Martapura,ID,-3.4167,114.85,86.09,66,20,6.91,few clouds
63,Kapaa,US,22.0752,-159.319,73.38,88,100,6.91,overcast clouds
64,Kavieng,PG,-2.5744,150.7967,80.44,79,99,9.95,moderate rain
65,Hasaki,JP,35.7333,140.8333,54.28,37,100,3.02,overcast clouds
66,Torbay,CA,47.6666,-52.7314,23.27,82,75,13.8,broken clouds
67,Petatlan,MX,17.5167,-101.2667,73.4,65,100,4.54,overcast clouds
68,Moyo,UG,3.6609,31.7247,76.62,54,51,2.01,light rain
69,Atuona,PF,-9.8,-139.0333,77.95,77,30,15.32,light rain
70,Severo-Kurilsk,RU,50.6789,156.125,24.64,75,99,18.7,light snow
71,Georgetown,MY,5.4112,100.3354,89.53,70,20,10.36,few clouds
72,Montevideo,UY,-34.8335,-56.1674,63.52,54,0,11.01,clear sky
